iter	Passed	Remaining
650	4538	341
651	4544	334
652	4551	327
653	4557	320
654	4563	313
655	4570	306
656	4576	299
657	4583	292
658	4590	285
659	4596	278
660	4603	271
661	4609	264
662	4615	257
663	4621	250
664	4627	243
665	4634	236
666	4640	229
667	4647	222
668	4655	215
669	4662	208
670	4668	201
671	4674	194
672	4684	187
673	4693	181
674	4704	174
675	4715	167
676	4722	160
677	4730	153
678	4737	146
679	4744	139
680	4750	132
681	4756	125
682	4763	118
683	4768	111
684	4774	104
685	4781	97
686	4786	90
687	4793	83
688	4800	76
689	4806	69
690	4812	62
691	4818	55
692	4824	48
693	4830	41
694	4835	34
695	4842	27
696	4847	20
697	4853	13
698	4860	6
699	4865	0
