iter	Passed	Remaining
172	920	2804
173	924	2794
174	929	2789
175	933	2779
176	937	2771
177	941	2761
178	946	2755
179	950	2747
180	954	2738
181	959	2730
182	963	2721
183	967	2713
184	971	2703
185	977	2700
186	982	2695
187	986	2687
188	992	2683
189	996	2674
190	1000	2666
191	1004	2657
192	1008	2649
193	1012	2640
194	1016	2632
195	1020	2625
196	1025	2617
197	1029	2609
198	1033	2601
199	1037	2592
200	1041	2584
201	1045	2577
202	1049	2569
203	1053	2562
204	1058	2554
205	1063	2549
206	1066	2540
207	1071	2534
208	1075	2526
209	1079	2519
210	1083	2510
211	1088	2505
212	1092	2497
213	1096	2490
214	1100	2482
215	1104	2475
216	1108	2468
217	1113	2461
218	1117	2454
219	1122	2448
220	1125	2440
221	1130	2434
222	1134	2427
223	1139	2420
224	1143	2414
225	1147	2407
226	1152	2401
227	1156	2394
228	1161	2387
229	1165	2380
230	1169	2375
231	1173	2367
232	1178	2361
233	1182	2354
234	1187	2349
235	1191	2343
236	1195	2336
237	1202	2333
238	1206	2326
239	1210	2320
240	1215	2314
241	1219	2308
242	1224	2302
243	1228	2295
244	1232	2289
245	1236	2282
246	1241	2276
247	1245	2269
248	1249	2263
249	1253	2256
250	1257	2249
251	1262	2245
252	1266	2238
253	1270	2231
254	1274	2224
255	1279	2219
256	1284	2213
257	1288	2207
258	1292	2201
259	1297	2195
260	1300	2188
261	1305	2181
262	1309	2175
263	1313	2168
264	1318	2163
265	1323	2160
266	1330	2157
267	1335	2152
268	1341	2149
269	1346	2143
270	1349	2136
271	1354	2131
272	1358	2124
273	1362	2118
274	1366	2111
275	1370	2105
276	1374	2099
277	1379	2093
278	1382	2086
279	1385	2078
280	1390	2072
281	1395	2068
282	1400	2063
283	1407	2061
284	1412	2056
285	1413	2046
286	1419	2042
287	1421	2033
288	1426	2029
289	1432	2024
290	1436	2018
291	1442	2015
292	1447	2010
293	1451	2004
294	1456	2000
295	1461	1995
296	1466	1989
297	1470	1984
298	1476	1979
299	1478	1971
300	1483	1965
301	1488	1962
302	1493	1956
303	1499	1952
304	1506	1950
305	1513	1948
306	1517	1942
307	1525	1941
308	1532	1939
309	1537	1934
310	1539	1926
311	1545	1922
312	1551	1918
313	1555	1912
314	1560	1907
315	1563	1899
316	1569	1896
317	1574	1891
318	1579	1886
319	1585	1882
320	1590	1878
321	1596	1874
322	1602	1870
323	1608	1866
324	1613	1861
325	1619	1857
326	1624	1852
327	1630	1849
328	1635	1844
329	1641	1840
330	1647	1836
331	1653	1832
332	1659	1828
333	1665	1824
334	1670	1820
335	1675	1814
336	1681	1810
337	1685	1805
338	1690	1800
339	1696	1796
340	1701	1791
341	1706	1786
342	1710	1780
343	1715	1774
344	1719	1769
345	1723	1763
346	1726	1756
347	1731	1751
348	1735	1745
349	1739	1739
350	1744	1734
351	1745	1725
352	1749	1719
353	1754	1714
354	1756	1707
355	1761	1702
356	1762	1693
357	1766	1687
358	1771	1682
359	1775	1677
360	1781	1673
361	1786	1668
362	1790	1662
363	1796	1657
364	1801	1653
365	1805	1647
366	1810	1642
367	1814	1637
368	1818	1631
369	1823	1626
370	1827	1620
371	1831	1615
372	1835	1609
373	1840	1604
374	1845	1599
375	1849	1593
376	1853	1588
377	1855	1580
378	1859	1575
379	1864	1569
380	1868	1564
381	1873	1559
382	1877	1554
383	1881	1548
384	1885	1542
385	1890	1538
386	1895	1532
387	1899	1527
388	1903	1522
389	1908	1517
390	1913	1512
391	1917	1506
392	1922	1501
393	1926	1496
394	1931	1491
395	1935	1485
396	1939	1480
397	1943	1474
398	1947	1469
399	1952	1464
400	1957	1459
401	1961	1454
402	1965	1448
403	1970	1444
404	1975	1438
405	1979	1433
406	1983	1428
407	1988	1422
408	1992	1417
409	1996	1412
410	2001	1407
411	2005	1402
412	2010	1396
413	2014	1391
414	2018	1386
415	2022	1380
416	2027	1375
417	2031	1370
418	2036	1366
419	2040	1360
420	2044	1355
421	2049	1349
